Result,Duration (min),Instrumented Duration (min),Change
Passed,\num{16.518840579710147},\num{18.98803921568629},\num{14.947772054952951} \%
Failed,\num{18.437499999999996},\num{20.711111111111116},\num{12.331450094162005} \%
