Group,Duration (min)
FR,52.46863333333333
FR,53.973283333333335
FR,53.625099999999996
FR,57.18413333333333
FR,53.4346
FR,60.74953333333334
FR,50.25365
FR,61.85268333333333
FR,58.93495
FR,59.51866666666667
FR,58.285399999999996
FR,59.35666666666667
FR,55.503550000000004
FR,67.94908333333333
FR,72.82553333333334
FR,63.15135
FR,62.48533333333333
FR,34.98445
FR,63.46678333333333
FR,53.23726666666666
FR,56.791266666666665
FR,65.0856
FR,59.50625
FR,68.49685
FR,62.8416
FR,62.633799999999994
FR,61.4951
FR,63.206716666666665
FR,58.11265
FR,62.751333333333335
FR,67.08758333333334
FR,63.11741666666667
FR,58.090900000000005
FR,62.518800000000006
FR,49.548883333333336
FR,49.539033333333336
FR,62.357283333333335
FR,53.44983333333333
FR,62.955866666666665
FR,58.7787
FR,55.79653333333333
FR,55.54638333333333
FR,68.09311666666666
FR,66.205
FR,61.33105
FR,61.69153333333334
FR,58.949949999999994
FR,67.15181666666666
FR,82.43088333333334
FR,58.143566666666665
FR,60.09191666666666
FR,59.965450000000004
FR,52.84068333333333
FR,58.6441
FR,69.65121666666667
FR,58.675783333333335
FR,103.89656666666666
FR,56.94665
FR,52.64083333333333
FR,52.5259
FR,50.18885
FR,55.965516666666666
FR,60.197716666666665
FR,49.89165
FR,66.04195
FR,60.26565
FR,49.5462
FR,53.336149999999996
FR,117.18328333333334
FR,57.27021666666667
FR,63.28521666666666
FR,118.83026666666666
FR,89.02478333333333
FR,54.76926666666667
FR,55.68313333333333
FR,62.1933
FR,59.93438333333334
FR,61.49228333333333
FR,53.43153333333333
FR,59.16375
FR,54.17951666666667
FR,60.6571
FR,54.4587
FR,56.98723333333333
FR,52.35651666666667
FR,49.99201666666667
FR,68.34741666666667
FR,54.15226666666667
FR,53.425383333333336
FR,55.839866666666666
FR,56.251549999999995
FR,53.07025
FR,51.39723333333333
FR,49.31036666666667
FR,58.833616666666664
FR,55.92665
FR,55.08391666666667
FR,51.059066666666666
FR,55.073949999999996
FR,56.01685
FR,54.4545
FR,54.56686666666667
FR,50.748333333333335
FR,60.7689
FR,56.69723333333333
FR,67.0566
FR,54.75995
FR,59.25666666666667
FR,62.16138333333333
FR,61.251783333333336
FR,65.44355
FR,62.536883333333336
FR,58.490633333333335
FR,64.49336666666666
FR,55.62893333333333
FR,55.5567
FR,55.14575
FR,51.63603333333333
FR,47.8025
FR,50.19226666666667
FR,53.88595
FR,58.030433333333335
FR,53.63935
FR,50.98523333333333
FR,55.19943333333333
FR,49.8219
FR,49.858066666666666
FR,52.836816666666664
FR,50.82193333333333
FR,87.13228333333333
FR,90.79658333333333
FR,83.24485
FR,79.62271666666668
FR,84.06726666666667
FR,78.11179999999999
FR,91.42566666666667
FR,94.78791666666666
FR,50.17131666666667
FR,51.43951666666667
FR,54.96351666666667
FR,70.52695
FR,59.05766666666667
FR,54.52908333333333
FR,56.27053333333333
FR,52.82756666666667
FR,61.6597
FR,37.13431666666667
FR,55.48291666666667
FR,33.39096666666667
FR,56.151266666666665
FR,50.35968333333334
FR,58.108183333333336
FR,50.5821
FR,58.15201666666667
FR,46.41166666666666
FR,59.8896
FR,59.96455
FR,54.55008333333333
FR,55.713483333333336
FR,58.3108
FR,62.324799999999996
FR,53.07735
FR,63.24478333333333
FR,67.71423333333333
FR,63.24478333333333
FR,68.21761666666666
FR,40.92053333333333
FR,52.94866666666667
FR,64.6991
FR,95.38335000000001
FR,61.026916666666665
FR,63.734366666666666
FR,63.717216666666666
FR,59.54671666666666
FR,66.14051666666667
FR,64.95401666666666
FR,54.05263333333333
FF,37.9978
FF,42.47796666666667
FF,43.9742
FF,48.8394
FF,49.34804999999999
FF,49.5
FF,49.909200000000006
FF,50.08476666666666
FF,50.20655
FF,50.24665
FF,50.34956666666667
FF,50.407450000000004
